WeekYear,Jenis Produk,Jumlah Order,Total,Tanggal,Avg_Price
2022-W31,CraftLaminasi290,6000,4950000,05/08/2022,825
2022-W31,FoodpakMatte245,1000,1900000,05/08/2022,1900
2022-W32,Dupleks310,4000,5900000,07/08/2022,1475
2022-W32,Ivory270,3000,5700000,08/08/2022,1900
2022-W32,Dupleks350,3000,5800000,09/08/2022,1933.333333
2022-W32,HVS,1500,1275000,09/08/2022,850
2022-W32,CraftLaminasi290,4500,3550000,11/08/2022,788.8888889
2022-W33,Dupleks310,4000,6700000,15/08/2022,1675
2022-W33,Ivory230,3000,2850000,15/08/2022,950
2022-W33,Dupleks350,3000,3950000,16/08/2022,1975
2022-W33,FoodpakMatte245,1000,1800000,18/08/2022,1800
2022-W34,Dupleks310,5000,8920000,22/08/2022,1784
2022-W35,Dupleks310,5500,9900000,29/08/2022,1800
2022-W35,Ivory230,4000,4790000,29/08/2022,1197.5
2022-W35,GreaseProof,2000,900000,31/08/2022,450
2022-W35,Ivory250,1000,1600000,31/08/2022,1600
2022-W35,CraftLaminasi290,11000,9700000,02/09/2022,881.8181818
2022-W35,Dupleks350,2000,3000000,02/09/2022,1500
2022-W35,HVS,20000,5000000,03/09/2022,250
2022-W36,CraftLaminasi290,6000,5350000,05/09/2022,891.6666667
2022-W36,Ivory230,1000,1200000,05/09/2022,1200
2022-W36,Dupleks310,5000,8400000,07/09/2022,1680
2022-W36,GreaseProof,2000,700000,07/09/2022,350
2022-W36,Dupleks350,500,2750000,08/09/2022,5500
2022-W36,Ivory270,500,2750000,08/09/2022,5500
2022-W37,CraftLaminasi290,3000,5100000,14/09/2022,1700
2022-W37,Dupleks350,4000,9250000,14/09/2022,2312.5
2022-W37,GreaseProof,1000,950000,14/09/2022,950
2022-W38,CraftLaminasi290,22000,29650000,19/09/2022,1347.727273
2022-W38,Dupleks310,9500,16175000,19/09/2022,1702.631579
2022-W38,Dupleks350,5000,9650000,19/09/2022,1930
2022-W38,FoodpakMatte245,2500,1750000,19/09/2022,700
2022-W38,Ivory250,1000,1650000,19/09/2022,1650
2022-W38,Ivory230,4000,6050000,24/09/2022,1512.5
2022-W38,Ivory270,2000,1900000,24/09/2022,950
2022-W40,Dupleks310,9500,15375000,04/10/2022,1618.421053
2022-W40,CraftLaminasi290,4000,3200000,05/10/2022,800
2022-W40,HVS,20000,5000000,07/10/2022,250
2022-W41,Ivory270,2000,5000000,09/10/2022,2500
2022-W41,Ivory230,5500,7190000,12/10/2022,1307.272727
2022-W41,CraftLaminasi290,2000,3700000,14/10/2022,1850
2022-W42,Ivory230,1000,1700000,16/10/2022,1700
2022-W42,Dupleks310,3000,4350000,17/10/2022,1450
2022-W42,CraftLaminasi290,10000,10250000,19/10/2022,1025
2022-W42,Ivory270,2000,5500000,19/10/2022,2750
2022-W42,GreaseProof,3500,1225000,21/10/2022,350
2022-W42,Ivory250,2000,2800000,22/10/2022,1400
2022-W43,Dupleks310,6100,11220000,23/10/2022,1839.344262
2022-W43,CraftLaminasi290,6500,10900000,24/10/2022,1676.923077
2022-W43,Dupleks350,5000,9150000,24/10/2022,1830
2022-W43,GreaseProof,3000,1350000,24/10/2022,450
2022-W43,Ivory230,3000,4100000,24/10/2022,1366.666667
2022-W43,Ivory250,3000,5300000,24/10/2022,1766.666667
2022-W43,Ivory270,1000,2700000,24/10/2022,2700
2022-W44,CraftLaminasi290,2000,1800000,05/11/2022,900
2022-W44,Dupleks310,1000,1550000,05/11/2022,1550
2022-W44,Ivory230,3000,2850000,05/11/2022,950
2022-W44,Ivory270,1000,850000,05/11/2022,850
2022-W45,CraftLaminasi290,2000,1650000,08/11/2022,825
2022-W45,Ivory270,4000,10850000,10/11/2022,2712.5
2022-W46,CraftLaminasi290,5000,6000000,13/11/2022,1200
2022-W46,Dupleks310,5000,8100000,13/11/2022,1620
2022-W46,Ivory230,2500,4100000,13/11/2022,1640
2022-W46,Ivory250,1000,1700000,13/11/2022,1700
2022-W47,GreaseProof,6000,3100000,20/11/2022,516.6666667
2022-W47,HVS,20000,5000000,20/11/2022,250
